ctx_i,ctx_d,class
el,",",ATRIBUTO
"creación,",y,ATRIBUTO
y,de,ATRIBUTO
se,los,ATRIBUTO
nacen,del,!=
del,de,ATR_CONDICION
de,?,VALOR
los,de,ATRIBUTO
cuyo,no,ATR_CONDICION
tema,"""Alienígenas""?",!=
"""","""?",VALOR
los,de,ATRIBUTO
cuyo,no,ATR_CONDICION
tema,Aliens?,!=
es,?,VALOR
los,de,ATRIBUTO
una,mayor,ATR_CONDICION
población,1500,>
o,500.,<
a,o,VALOR
1500,menor,OR
a,.,VALOR
los,de,ATRIBUTO
una,superior,ATR_CONDICION
población,1500,>
a,o,VALOR
1500,inferior,OR
o,500?,<
a,?,VALOR
la,de,ATRIBUTO
cuyo,no,ATR_CONDICION
estado,"""Pueblo"".",!=
"""",""".",VALOR
las,de,ATRIBUTO
que,el,!=
el,de,ATR_CONDICION
"""","""?",VALOR
la,que,ATRIBUTO
las,que,ATRIBUTO
la,cuyo,ATRIBUTO
cuyo,es,ATR_CONDICION
evaluación,"""Aprobar""?",=
"""","""?",VALOR
los,que,ATRIBUTO
que,un,=
un,Aprobado?,ATR_CONDICION
resultado,?,VALOR
los,que,ATRIBUTO
el,301?,ATR_CONDICION
curso,?,VALOR
las,que,ATRIBUTO
curso,?,VALOR
el,301?,ATR_CONDICION
las,en,ATRIBUTO
la,fue,ATR_CONDICION
fue,a,>
a,.,VALOR
las,con,ATRIBUTO
una,superior,ATR_CONDICION
máxima,a,>
los,de,ATRIBUTO
una,inferior,ATR_CONDICION
latitud,a,<
a,?,VALOR
los,de,ATRIBUTO
una,menor,ATR_CONDICION
latitud,que,<
que,?,VALOR
¿,y,ATRIBUTO
qué,la,ATRIBUTO
la,alcanzó,ATR_CONDICION
máxima,los,=
los,grados?,VALOR
destino,.,VALOR
vuelos,destino,=
con,Honolulu.,ATR_CONDICION
Mostrar,de,ATRIBUTO
a,?,VALOR
la,de,ATRIBUTO
se,a,ATR_CONDICION
dirigen,Honolulu?,=
la,y,ATRIBUTO
y,de,ATRIBUTO
los,de,ATR_CONDICION
vuelos,Los,=
de,a,VALOR
a,.,VALOR
el,para,ATRIBUTO
vuelos,2000,>
de,distancias.,VALOR
