ctx_i,ctx_d,class
del,de,ATR_CONDICION
de,?,VALOR
cuyo,no,ATR_CONDICION
es,?,VALOR
cuyo,no,ATR_CONDICION
es,?,VALOR
una,mayor,ATR_CONDICION
a,o,VALOR
a,.,VALOR
una,superior,ATR_CONDICION
a,o,VALOR
a,?,VALOR
cuyo,no,ATR_CONDICION
es,.,VALOR
el,de,ATR_CONDICION
de,?,VALOR
cuyo,es,ATR_CONDICION
es,?,VALOR
un,Aprobado,ATR_CONDICION
resultado,?,VALOR
el,301,ATR_CONDICION
curso,?,VALOR
curso,?,VALOR
el,301,ATR_CONDICION
la,fue,ATR_CONDICION
a,.,VALOR
una,superior,ATR_CONDICION
una,inferior,ATR_CONDICION
a,?,VALOR
una,menor,ATR_CONDICION
que,?,VALOR
la,alcanzó,ATR_CONDICION
los,grados,VALOR
destino,.,VALOR
con,Honolulu,ATR_CONDICION
a,?,VALOR
se,a,ATR_CONDICION
los,de,ATR_CONDICION
de,a,VALOR
a,.,VALOR
de,distancias,VALOR
2000,.,ATR_CONDICION
una,de,ATR_CONDICION
de,?,VALOR
a,.,VALOR
con,superior,ATR_CONDICION
cuyo,sea,ATR_CONDICION
a,?,VALOR
al,?,VALOR
de,al,ATR_CONDICION
los,?,VALOR
el,de,ATR_CONDICION
las,.,ATR_CONDICION
es,.,VALOR
las,cuyo,ATR_CONDICION
es,?,VALOR
los,varones,ATR_CONDICION
estudiantes,.,VALOR
los,varones,ATR_CONDICION
estudiantes,?,VALOR
de,años,VALOR
20,.,ATR_CONDICION
de,años,VALOR
20,?,ATR_CONDICION
es,?,VALOR
cuyo,es,ATR_CONDICION
es,.,VALOR
cuyo,es,ATR_CONDICION
cédula,?,VALOR
con,1004,ATR_CONDICION
al,1004,ATR_CONDICION
estudiante,?,VALOR
cuya,esté,ATR_CONDICION
en,o,VALOR
o,.,VALOR
30,o,ATR_CONDICION
con,negra,ATR_CONDICION
membresía,.,VALOR
de,años,VALOR
el,NY,ATR_CONDICION
estado,.,VALOR
el,de,ATR_CONDICION
de,?,VALOR
la,de,ATR_CONDICION
de,?,VALOR
la,de,ATR_CONDICION
de,.,VALOR
el,luisg,ATR_CONDICION
electrónico,?,VALOR
el,luisg,ATR_CONDICION
electrónico,.,VALOR
en,?,VALOR
la,de,ATR_CONDICION
de,.,VALOR
la,Seguro,ATR_CONDICION
póliza,?,VALOR
la,Seguro,ATR_CONDICION
código,?,VALOR
el,'Citosol',ATR_CONDICION
',',VALOR
enzimas,en,ATR_CONDICION
',',VALOR
no,'hemo',ATR_CONDICION
',',VALOR
cuyo,no,ATR_CONDICION
',',VALOR
valor,en,VALOR
la,?,ATR_CONDICION
la,?,ATR_CONDICION
medicamentos,por,VALOR
escuelas,y,VALOR
escuelas,y,VALOR
fueron,después,ATR_CONDICION
de,o,VALOR
o,.,VALOR
se,antes,ATR_CONDICION
de,o,VALOR
son,?,VALOR
el,LG,ATR_CONDICION
hardware,?,VALOR
la,UCLA,ATR_CONDICION
universidad,.,VALOR
de,?,VALOR
cuyas,son,ATR_CONDICION
son,.,VALOR
la,de,ATR_CONDICION
de,?,VALOR
cuyo,no,ATR_CONDICION
sea,.,VALOR
de,?,VALOR
del,de,ATR_CONDICION
una,mayor,ATR_CONDICION
a,?,VALOR
una,mayor,ATR_CONDICION
a,.,VALOR
una,superior,ATR_CONDICION
una,superior,ATR_CONDICION
a,o,VALOR
a,.,VALOR
una,de,ATR_CONDICION
una,de,ATR_CONDICION
de,o,VALOR
de,?,VALOR
cuyo,no,ATR_CONDICION
es,?,VALOR
del,de,ATR_CONDICION
de,o,VALOR
del,de,ATR_CONDICION
de,?,VALOR
edificios,por,ATR_CONDICION
por,.,VALOR
edificios,Emma,ATR_CONDICION
gestiona,?,VALOR
edificios,por,ATR_CONDICION
por,.,VALOR
edificios,por,ATR_CONDICION
por,?,VALOR
con,de,ATR_CONDICION
tipo,.,VALOR
el,de,ATR_CONDICION
tipo,?,VALOR
el,Masculino,ATR_CONDICION
género,.,VALOR
es,?,VALOR
cuyo,es,ATR_CONDICION
con,superior,ATR_CONDICION
al,?,VALOR
del,?,VALOR
la,del,ATR_CONDICION
el,TD,ATR_CONDICION
lugar,o,VALOR
o,end,VALOR
del,de,ATR_CONDICION
de,.,VALOR
del,.,VALOR
.,?,ATR_CONDICION
