ctx_i,ctx_d,class
el,de,ATRIBUTO
cada,end,TABLA
los,que,TABLA
se,los,ATRIBUTO
que,end,CONDICION
¿El,Enumere,CONDICION
la,.,ATRIBUTO
cuyo,end,CONDICION
los,de,ATRIBUTO
de,cuyo,TABLA
los,de,ATRIBUTO
de,cuyo,TABLA
cuyo,?,CONDICION
los,de,ATRIBUTO
de,con,TABLA
una,.,CONDICION
los,de,ATRIBUTO
las,que,TABLA
una,?,CONDICION
la,de,ATRIBUTO
las,cuyo,TABLA
cuyo,end,CONDICION
las,de,ATRIBUTO
las,que,TABLA
que,end,CONDICION
la,que,ATRIBUTO
algunos,?,TABLA
las,que,ATRIBUTO
un,?,TABLA
la,cuyo,ATRIBUTO
cuyo,end,CONDICION
los,que,ATRIBUTO
un,?,CONDICION
los,que,ATRIBUTO
el,?,CONDICION
las,que,ATRIBUTO
el,?,CONDICION
la,end,CONDICION
las,en,ATRIBUTO
las,con,ATRIBUTO
una,?,CONDICION
los,de,ATRIBUTO
las,que,TABLA
una,?,CONDICION
los,de,ATRIBUTO
las,con,TABLA
una,?,CONDICION
¿,la,ATRIBUTO
la,?,CONDICION
de,?,TABLA
los,que,ATRIBUTO
que,Los,CONDICION
Mostrar,con,ATRIBUTO
con,Honolulu.,CONDICION
destino,.,TABLA
la,que,ATRIBUTO
que,?,CONDICION
la,de,ATRIBUTO
de,.,CONDICION
las,de,ATRIBUTO
de,?,CONDICION
vuelos,.,CONDICION
el,para,ATRIBUTO
los,con,TABLA
el,que,CONDICION
cubrir,?,ATRIBUTO
para,con,TABLA
Mostrar,para,ATRIBUTO
con,.,CONDICION
el,de,ATRIBUTO
los,cuyo,TABLA
cuyo,?,CONDICION
Mostrar,de,ATRIBUTO
los,.,TABLA
los,?,TABLA
los,de,ATRIBUTO
diferentes,?,TABLA
las,especialidades?,CONDICION
el,.,ATRIBUTO
Su,es,TABLA
es,.,CONDICION
los,cuyo,ATRIBUTO
cuyo,es,TABLA
es,?,CONDICION
Mostrar,para,ATRIBUTO
los,.,CONDICION
las,para,ATRIBUTO
los,?,CONDICION
estudiantes,.,CONDICION
las,mayores,ATRIBUTO
las,para,ATRIBUTO
para,?,CONDICION
"""","""?",CONDICION
el,cuyo,TABLA
cuyo,es,CONDICION
cuyo,es,ATRIBUTO
es,.,CONDICION
el,cuyo,TABLA
el,de,ATRIBUTO
las,end,TABLA
los,de,ATRIBUTO
las,end,TABLA
los,de,ATRIBUTO
los,cuya,TABLA
cuya,end,CONDICION
las,de,ATRIBUTO
miembros,end,CONDICION
de,menores,TABLA
los,de,ATRIBUTO
de,los,CONDICION
los,musicales.,TABLA
los,de,ATRIBUTO
diferentes,musicales?,TABLA
Encuentra,de,ATRIBUTO
de,en,TABLA
el,end,CONDICION
es,del,ATRIBUTO
los,en,TABLA
el,end,CONDICION
los,de,ATRIBUTO
los,que,TABLA
la,end,CONDICION
los,completos,ATRIBUTO
los,que,TABLA
la,end,CONDICION
