ctx_i,ctx_d,class
que,end,CONDICION
El,Enumere,CONDICION
cuyo,end,CONDICION
cuyo,?,CONDICION
una,.,CONDICION
una,?,CONDICION
cuyo,end,CONDICION
que,end,CONDICION
cuyo,end,CONDICION
un,?,CONDICION
el,?,CONDICION
el,?,CONDICION
la,end,CONDICION
una,?,CONDICION
una,?,CONDICION
una,?,CONDICION
la,?,CONDICION
que,Los,CONDICION
con,Honolulu,CONDICION
que,?,CONDICION
de,.,CONDICION
de,?,CONDICION
vuelos,.,CONDICION
el,que,CONDICION
con,.,CONDICION
cuyo,?,CONDICION
las,especialidades,CONDICION
es,.,CONDICION
es,?,CONDICION
los,.,CONDICION
los,?,CONDICION
estudiantes,.,CONDICION
para,?,CONDICION
es,?,CONDICION
cuyo,es,CONDICION
es,.,CONDICION
cuya,end,CONDICION
miembros,end,CONDICION
de,los,CONDICION
el,end,CONDICION
el,end,CONDICION
la,end,CONDICION
la,end,CONDICION
el,end,CONDICION
el,end,CONDICION
en,end,CONDICION
la,end,CONDICION
la,end,CONDICION
la,end,CONDICION
el,end,CONDICION
el,end,CONDICION
que,end,CONDICION
cuyo,end,CONDICION
valor,end,CONDICION
medicamentos,end,CONDICION
escuelas,y,CONDICION
escuelas,y,CONDICION
fueron,end,CONDICION
se,end,CONDICION
el,end,CONDICION
la,end,CONDICION
de,end,CONDICION
cuyas,end,CONDICION
la,end,CONDICION
cuyo,end,CONDICION
del,end,CONDICION
una,end,CONDICION
una,end,CONDICION
una,end,CONDICION
una,end,CONDICION
cuyo,end,CONDICION
del,end,CONDICION
edificios,end,CONDICION
edificios,Dame,CONDICION
edificios,end,CONDICION
edificios,end,CONDICION
con,end,CONDICION
el,Dame,CONDICION
el,end,CONDICION
cuyo,end,CONDICION
con,end,CONDICION
que,end,CONDICION
el,end,CONDICION
del,end,CONDICION
del,departamento,CONDICION
