ctx_i,ctx_d,class
el,de,ATRIBUTO
cada,end,TABLA
los,que,TABLA
se,los,ATRIBUTO
que,end,CONDICION
El,Enumere,CONDICION
la,.,ATRIBUTO
cuyo,end,CONDICION
los,de,ATRIBUTO
de,cuyo,TABLA
cuyo,?,CONDICION
de,con,TABLA
una,.,CONDICION
las,que,TABLA
una,?,CONDICION
la,de,ATRIBUTO
las,cuyo,TABLA
las,de,ATRIBUTO
la,que,ATRIBUTO
algunos,?,TABLA
las,que,ATRIBUTO
un,?,TABLA
la,cuyo,ATRIBUTO
los,que,ATRIBUTO
un,?,CONDICION
el,?,CONDICION
la,end,CONDICION
las,en,ATRIBUTO
las,con,ATRIBUTO
las,con,TABLA
start,la,ATRIBUTO
la,?,CONDICION
de,?,TABLA
que,Los,CONDICION
Mostrar,con,ATRIBUTO
con,Honolulu,CONDICION
destino,.,TABLA
que,?,CONDICION
de,.,CONDICION
de,?,CONDICION
vuelos,.,CONDICION
el,para,ATRIBUTO
los,con,TABLA
el,que,CONDICION
cubrir,?,ATRIBUTO
para,con,TABLA
Mostrar,para,ATRIBUTO
con,.,CONDICION
los,cuyo,TABLA
Mostrar,de,ATRIBUTO
los,.,TABLA
los,?,TABLA
diferentes,?,TABLA
las,especialidades,CONDICION
el,.,ATRIBUTO
Su,es,TABLA
es,.,CONDICION
los,cuyo,ATRIBUTO
cuyo,es,TABLA
es,?,CONDICION
los,.,CONDICION
las,para,ATRIBUTO
los,?,CONDICION
estudiantes,.,CONDICION
las,mayores,ATRIBUTO
para,?,CONDICION
el,cuyo,TABLA
cuyo,es,CONDICION
cuyo,es,ATRIBUTO
las,end,TABLA
los,cuya,TABLA
cuya,end,CONDICION
miembros,end,CONDICION
de,menores,TABLA
de,los,CONDICION
los,musicales,TABLA
diferentes,musicales,TABLA
Encuentra,de,ATRIBUTO
de,en,TABLA
el,end,CONDICION
es,del,ATRIBUTO
los,en,TABLA
los,completos,ATRIBUTO
el,del,ATRIBUTO
del,que,TABLA
el,completo,ATRIBUTO
del,con,TABLA
de,de,ATRIBUTO
los,end,TABLA
en,end,CONDICION
las,correspondientes,ATRIBUTO
los,end,ATRIBUTO
los,donde,ATRIBUTO
las,pueden,TABLA
las,enumeradas,TABLA
el,relacionados,ATRIBUTO
las,ubicadas,TABLA
valor,end,CONDICION
los,aprobados,TABLA
medicamentos,end,CONDICION
las,públicas,ATRIBUTO
sus,end,ATRIBUTO
escuelas,y,CONDICION
fueron,end,CONDICION
se,end,CONDICION
Enumera,relativa,ATRIBUTO
al,end,TABLA
es,sobre,ATRIBUTO
el,end,TABLA
de,los,ATRIBUTO
de,end,CONDICION
cuyas,end,CONDICION
los,para,ATRIBUTO
diferentes,y,ATRIBUTO
cuántos,cada,ATRIBUTO
del,end,CONDICION
una,end,CONDICION
se,las,ATRIBUTO
Muestra,sobre,ATRIBUTO
los,del,TABLA
los,gestionados,TABLA
edificios,end,CONDICION
Qué,gestiona,TABLA
edificios,Dame,CONDICION
con,end,CONDICION
Qué,tienen,TABLA
el,Dame,CONDICION
la,a,ATRIBUTO
las,en,TABLA
del,departamento,CONDICION
