Label,Text
ATRIBUTO,año de creación
ATRIBUTO,nombre 
ATRIBUTO,presupuesto
ATRIBUTO,llaman 
!=,fuera
ATR_CONDICION,estado
VALOR,California
ATRIBUTO,anfitriones 
ATR_CONDICION,tema
!=,no es
VALOR,Alienígenas
ATRIBUTO,anfitriones 
ATR_CONDICION,tema 
!=,no es
VALOR,Aliens
ATRIBUTO,nombres oficiales
ATR_CONDICION,población
>,mayor a
<,menor a
VALOR,1500
OR, o 
VALOR,500
ATRIBUTO,nombres oficiales
ATR_CONDICION,población
>,superior a
VALOR,1500
OR,o
<, inferior a
VALOR,500
ATRIBUTO,clasificación censal
ATR_CONDICION,estado
!=,no es
VALOR,Pueblo
ATRIBUTO,clasificaciones censales
!=, no tienen
ATR_CONDICION, estatus
VALOR,pueblo
ATRIBUTO,identificación de los estudiantes
ATRIBUTO,identificaciones de todos los estudiantes
ATRIBUTO,identificación de los candidatos
ATR_CONDICION,código de evaluación
=,es
VALOR,Aprobar
ATRIBUTO, identificadores de los candidatos
=,tienen 
ATR_CONDICION,código de resultado
VALOR,Aprobado
ATRIBUTO, ID de los estudiantes
ATR_CONDICION,curso
VALOR,301
ATRIBUTO,identificaciones de los estudiantes
VALOR,301
ATR_CONDICION,curso
ATRIBUTO,fechas
ATR_CONDICION,temperatura máxima
>,superior
VALOR,85
ATRIBUTO,fechas
ATR_CONDICION, temperatura máxima
>,superior
ATRIBUTO,nombres
ATR_CONDICION,latitud
<, inferior
VALOR,"37,5"
ATRIBUTO,nombres
ATR_CONDICION,latitud
<,menor
VALOR,"37,5"
ATRIBUTO,Cuándo
ATRIBUTO,código postal
ATR_CONDICION,temperatura máxima
=,alcanzó
VALOR,80
VALOR,Honolulu
=,con
ATR_CONDICION,destino
ATRIBUTO,orígenes
VALOR,Honolulu
ATRIBUTO,procedencia
ATR_CONDICION,dirigen
=,a
ATRIBUTO,fecha de salida
ATRIBUTO,llegada
ATR_CONDICION,vuelos
=,de
VALOR,Los Ángeles
VALOR,Honolulu
ATRIBUTO,número de vuelo
>,con más de
VALOR,2000 
ATR_CONDICION,distancias
ATRIBUTO,número de todos los vuelos
ATR_CONDICION,distancia
VALOR,2000
>,más de
ATRIBUTO,origen
ATRIBUTO,destino
VALOR,300
>,superior a
ATR_CONDICION,precio
ATRIBUTO,origen
ATRIBUTO,destino
ATR_CONDICION,precio
>,superior a 
VALOR,300
VALOR,gato
=,al
ATRIBUTO,tipo de alergia
ATR_CONDICION,alergia
VALOR,gatos
=,a los
ATRIBUTO,alergia
ATR_CONDICION,tipo de alergia
ATRIBUTO,nombre
ATRIBUTO,apellido
ATRIBUTO,edad
ATR_CONDICION,estudiantes
=,es
VALOR,F
ATRIBUTO,nombres completos
ATRIBUTO,edades
ATR_CONDICION,estudiantes 
VALOR,F
=,es
ATRIBUTO,identificaciones de estudiantes
ATR_CONDICION,estudiantes
VALOR,varones
=,para
